order_item_id,order_id,product_id,quantity
1,100,15,2
2,72,2,2
3,66,8,3
4,18,8,3
5,13,16,4
6,11,7,1
7,37,6,3
8,77,11,1
9,60,12,4
10,90,8,4
11,41,4,4
12,16,11,3
13,89,7,1
14,43,8,4
15,57,17,3
16,45,7,3
17,67,13,2
18,96,17,1
19,22,17,1
20,21,17,3
21,78,18,3
22,23,16,1
23,44,16,2
24,20,2,3
25,82,20,3
26,80,11,3
27,56,15,2
28,26,4,4
29,37,15,3
30,91,13,2
31,16,17,1
32,43,13,4
33,38,3,1
34,65,15,3
35,58,8,3
36,50,14,4
37,87,5,4
38,30,6,1
39,18,1,2
40,16,1,2
41,64,3,2
42,7,3,1
43,9,13,2
44,74,8,1
45,20,9,4
46,90,13,1
47,53,17,2
48,78,13,3
49,9,11,4
50,43,3,4
51,55,17,3
52,94,10,4
53,63,16,4
54,73,1,2
55,51,15,2
56,56,16,3
57,67,7,3
58,68,13,4
59,56,2,1
60,79,8,4
61,96,17,2
62,54,12,2
63,26,8,3
64,1,3,3
65,17,15,2
66,37,3,3
67,91,20,1
68,30,15,3
69,45,6,3
70,72,20,3
71,29,6,2
72,63,3,4
73,65,7,2
74,48,1,2
75,47,20,2
76,95,13,3
77,61,2,2
78,34,12,3
79,20,20,1
80,10,14,4
81,80,6,2
82,99,1,3
83,93,11,1
84,83,11,2
85,43,13,1
86,50,6,4
87,59,16,3
88,86,11,4
89,11,18,3
90,38,12,1
91,59,20,3
92,8,16,4
93,91,12,3
94,2,4,2
95,10,12,1
96,13,16,2
97,80,7,2
98,39,12,3
99,82,19,2
100,31,2,1
101,39,20,2
102,78,1,3
103,90,9,3
104,99,3,4
105,85,15,1
106,10,9,3
107,64,11,2
108,41,9,1
109,92,12,3
110,79,17,3
111,3,3,4
112,100,7,1
113,88,13,3
114,47,8,3
115,96,6,2
116,92,4,4
117,11,4,4
118,86,9,4
119,63,15,3
120,34,7,4
121,88,17,3
122,70,8,4
123,73,10,4
124,87,13,2
125,86,18,4
126,80,15,1
127,20,11,1
128,93,10,1
129,43,18,1
130,85,2,3
131,17,6,1
132,41,18,3
133,8,11,4
134,43,1,1
135,21,9,4
136,54,16,4
137,1,1,2
138,27,15,2
139,70,2,2
140,50,16,1
141,55,1,1
142,82,7,2
143,62,2,4
144,18,5,1
145,78,3,3
146,1,18,2
147,84,3,2
148,30,10,3
149,64,4,1
150,94,12,2
151,80,12,1
152,3,14,2
153,31,12,1
154,66,19,4
155,75,8,4
156,68,12,4
157,29,3,4
158,54,15,2
159,64,8,2
160,51,4,3
161,84,19,2
162,67,12,1
163,10,13,4
164,70,18,4
165,30,20,4
166,26,14,3
167,28,3,2
168,89,15,1
169,93,9,4
170,6,15,3
171,56,19,4
172,52,2,4
173,95,5,2
174,99,4,3
175,75,11,1
176,77,4,1
177,2,1,3
178,68,20,4
179,89,1,1
180,79,18,1
181,22,4,2
182,21,13,3
183,72,19,3
184,15,8,2
185,26,16,2
186,77,8,3
187,86,5,2
188,12,3,3
189,45,15,1
190,88,17,1
191,99,15,2
192,100,5,4
193,8,3,3
194,100,8,2
195,70,5,4
196,96,10,4
197,18,14,2
198,7,12,4
199,32,3,3
200,65,16,2
